circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,timestamp,total_supply,yield,open,high,low,close,volume,market_cap
250582206,Cosmos,0.064901,0.064901,0.0227,182585168,0.72864,2020-01-27T23:25:42.344731,250582206,0.08907,4.48,4.67,4.43,4.52,166514161,861473073
250537641,Cosmos,0.064949,0.064949,0.02229,183487046,0.73237,2020-01-26T23:25:46.555434,250537641,0.08868,4.41,4.5,4.37,4.48,131819511,854395418
250493304,Cosmos,0.065009,0.065009,0.02221,183659143,0.73319,2020-01-25T23:25:48.843186,250493304,0.08867,4.49,4.49,4.37,4.42,132055630,841901879
250449004,Cosmos,0.065068,0.065068,0.02147,185320060,0.73995,2020-01-24T23:25:51.935283,250449004,0.08794,4.45,4.52,4.35,4.48,161825964,855148282
189316335,Cosmos,0.06514,0.06514,0.00134,185260368,0.97858,2020-01-23T23:25:53.337892,189316335,0.06657,4.65,4.68,4.38,4.44,157800493,847521481
189272857,Cosmos,0.065205,0.065205,0.00137,185115898,0.97804,2020-01-22T23:25:37.887936,189272857,0.06667,4.64,4.69,4.57,4.65,131623772,887094362
189180931,Cosmos,0.065261,0.065261,0.0014,184943874,0.9776,2020-01-21T23:25:43.215278,189180931,0.06676,4.5,4.73,4.46,4.65,138311353,886592072
189161651,Cosmos,0.065338,0.065338,0.00137,185019119,0.9781,2020-01-20T23:25:51.228205,189161651,0.0668,4.51,4.66,4.42,4.51,142814531,859109294
189121614,Cosmos,0.065408,0.065408,0.00132,185133281,0.97891,2020-01-19T23:25:49.438944,189121614,0.06682,4.64,4.76,4.39,4.52,195479921,861648060
189092983,Cosmos,0.065481,0.065481,0.00127,185252241,0.97969,2020-01-18T23:25:42.161201,189092983,0.06684,5,5,4.62,4.63,218755859,883526141
189109288,Cosmos,0.065546,0.065546,0.00127,185279166,0.97975,2020-01-17T23:25:39.787088,189109288,0.0669,5.1,5.29,4.77,5,314099418,953671093
188635519,Cosmos,0.065628,0.065628,0.00116,185135901,0.98145,2020-01-16T23:25:43.812219,188635519,0.06687,4.57,5.2,4.2,5.08,292509993,967992098
188592665,Cosmos,0.065696,0.065696,0.00107,185367471,0.9829,2020-01-15T23:25:39.568738,188592665,0.06684,4.54,4.93,4.4,4.57,256937834,871045052
188569167,Cosmos,0.065777,0.065777,0.00101,185530276,0.98388,2020-01-14T23:25:42.914046,188569167,0.06685,4.25,4.67,4.24,4.54,218081722,865707914
188522728,Cosmos,0.065854,0.065854,0.00094,185688026,0.98496,2020-01-13T23:25:41.521024,188522728,0.06686,4.26,4.33,4.13,4.26,112376034,811564036
188618028,Cosmos,0.065922,0.065922,0.00089,185950697,0.98586,2020-01-12T23:25:36.115299,188618028,0.06687,4.27,4.35,4.23,4.26,114480179,812887020
188557575,Cosmos,0.065964,0.065964,0.00089,185882601,0.98581,2020-01-11T23:25:43.710720,188557575,0.06691,4.26,4.43,4.26,4.28,134305838,815227389
188510656,Cosmos,0.066016,0.066016,0.00081,186076855,0.98709,2020-01-10T23:25:43.657154,188510656,0.06688,4.26,4.45,4.21,4.26,180537539,813022082
188477505,Cosmos,0.066066,0.066066,0.00075,186228690,0.98807,2020-01-09T23:25:48.176056,188477505,0.06686,4.01,4.26,3.96,4.26,137133708,812941170
188987463,Cosmos,0.066113,0.066113,0.001,186000166,0.98419,2020-01-08T23:28:38.946033,188987463,0.06717,4.09,4.18,4,4.01,128484380,764782468
189070771,Cosmos,0.066172,0.066172,0.00101,186055234,0.98405,2020-01-07T23:25:40.170236,189070771,0.06724,4.11,4.25,4.07,4.1,136691939,781067565
189253801,Cosmos,0.066234,0.066234,0.00101,186237677,0.98406,2020-01-06T23:25:36.472419,189253801,0.06731,4.23,4.25,4.05,4.1,139523351,782765024
189593110,Cosmos,0.066314,0.066314,0.0011,186293554,0.9826,2020-01-05T23:25:47.036603,189593110,0.06749,4.28,4.4,4.22,4.23,115399788,806970072
190217537,Cosmos,0.0664,0.0664,0.00131,186284011,0.97932,2020-01-04T23:25:44.122105,190217537,0.0678,4.25,4.39,4.23,4.29,90718305,817358521
190181747,Cosmos,0.066466,0.066466,0.00131,186257390,0.97936,2020-01-03T23:26:05.900091,190181747,0.06787,4.11,4.36,4.02,4.25,138617691,810024888
190332935,Cosmos,0.066535,0.066535,0.00132,186392616,0.9793,2020-01-02T23:25:43.644342,190332935,0.06794,4.38,4.38,4.08,4.09,111325337,780262140
190519375,Cosmos,0.066581,0.066581,0.00136,186469883,0.97874,2020-01-01T23:25:36.965678,190519375,0.06803,4.22,4.47,4.2,4.38,107994513,835245527
190469429,Cosmos,0.066633,0.066633,0.00133,186489589,0.9791,2019-12-31T23:25:43.688361,190469429,0.06806,4.19,4.33,4.13,4.22,109928104,804079143
190743087,Cosmos,0.066703,0.066703,0.00142,186498621,0.97775,2019-12-30T23:25:44.552967,190743087,0.06822,4.27,4.42,4.15,4.19,126896246,799024500
191265759,Cosmos,0.066759,0.066759,0.0016,186489654,0.97503,2019-12-29T23:25:44.299957,191265759,0.06847,4.41,4.54,4.25,4.27,125572029,813804081
191099042,Cosmos,0.066812,0.066812,0.0016,186332843,0.97506,2019-12-28T23:25:44.219880,191099042,0.06852,4.52,4.72,4.41,4.41,117069172,840180977
191013470,Cosmos,0.066877,0.066877,0.0016,186260305,0.97512,2019-12-27T23:25:49.160925,191013470,0.06858,4.57,4.76,4.49,4.52,132653447,861978946
190944289,Cosmos,0.066928,0.066928,0.00161,186167377,0.97498,2019-12-26T23:25:44.680307,190944289,0.06865,4.3,4.62,4.3,4.58,139848139,873061135
192458018,Cosmos,0.066991,0.066991,0.00215,186072661,0.96682,2019-12-25T23:25:40.740237,192458018,0.06929,4.42,4.42,4.21,4.3,104967612,820436002
191952405,Cosmos,0.067044,0.067044,0.00221,185434114,0.96604,2019-12-24T23:25:42.373707,191952405,0.0694,4.31,4.48,4.26,4.42,127112410,843489942
191832354,Cosmos,0.067099,0.067099,0.00218,185415904,0.96655,2019-12-23T23:25:43.077942,191832354,0.06942,4.27,4.35,4.17,4.3,133651317,820276987
191089439,Cosmos,0.067148,0.067148,0.0022,184621436,0.96615,2019-12-22T23:25:43.839132,191089439,0.0695,4.09,4.28,4.08,4.27,119057895,814002309
191335669,Cosmos,0.067194,0.067194,0.0023,184606571,0.96483,2019-12-21T23:25:51.099246,191335669,0.06964,4.32,4.35,4.07,4.09,111080887,779582076
191296609,Cosmos,0.067237,0.067237,0.00229,184583128,0.9649,2019-12-20T23:25:44.120113,191296609,0.06968,4.29,4.38,4.19,4.31,142056809,822749311
191184852,Cosmos,0.067279,0.067279,0.00231,184419292,0.96461,2019-12-19T23:25:50.675228,191184852,0.06975,4.3,4.37,4.08,4.29,149541020,817804301
191207503,Cosmos,0.067324,0.067324,0.00206,185157086,0.96836,2019-12-18T23:25:47.169936,191207503,0.06952,3.61,4.46,3.6,4.3,260235131,820891581
191242460,Cosmos,0.067368,0.067368,0.00206,185208575,0.96845,2019-12-17T23:25:44.439743,191242460,0.06956,4.08,4.15,3.57,3.63,216347353,691687130
