circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,timestamp,total_supply,yield,open,high,low,close,volume,market_cap
9281465,Dash,0.033522,0.074493,-0.00671,4624000,0.4982,2020-01-19T23:25:55.515511,9281465,0.06729,101.63,108.44,93.42,104.79,1186646796,972138555
9279766,Dash,0.033538,0.074528,-0.00668,4621000,0.49796,2020-01-18T23:25:48.147402,9279766,0.06735,114.13,115.25,97.52,101.56,1315737751,941967758
9278057,Dash,0.033539,0.074532,-0.00668,4620000,0.49795,2020-01-17T23:25:45.360911,9278057,0.06735,127.63,127.69,110.55,114.38,1536993729,1060686346
9276370,Dash,0.033543,0.07454,-0.00653,4608000,0.49675,2020-01-16T23:25:49.679328,9276370,0.06753,132.4,134.05,113.62,128.16,1925351036,1188236312
9274649,Dash,0.033537,0.074526,-0.00657,4610000,0.49705,2020-01-15T23:25:45.374232,9274649,0.06747,88.62,140.7,88.62,132.27,2736888861,1226142431
9272947,Dash,0.033544,0.074541,-0.00712,4650000,0.50146,2020-01-14T23:25:48.714064,9272947,0.06689,69.61,88.7,69.58,88.7,1090046613,822067637
9271238,Dash,0.03355,0.074556,-0.00748,4676000,0.50436,2020-01-13T23:25:47.444305,9271238,0.06652,66.25,71.11,64.15,69.58,476814382,644783979
9269551,Dash,0.033567,0.074593,-0.00744,4672000,0.50402,2020-01-12T23:25:41.989549,9269551,0.0666,63.53,67.81,62.53,66.3,535827585,614252950
9267839,Dash,0.033564,0.074588,-0.00746,4673000,0.50422,2020-01-11T23:27:56.987982,9267839,0.06657,56.6,66.84,55.81,63.4,581950368,587294276
9266137,Dash,0.033577,0.074615,-0.00737,4665000,0.50345,2020-01-10T23:27:56.478715,9266137,0.06669,50.89,56.59,50.26,56.59,360608270,524062302
9264438,Dash,0.033592,0.074648,-0.00747,4671000,0.50419,2020-01-09T23:25:54.154373,9264438,0.06663,52.88,53.28,50.5,50.89,247077074,471257294
9262726,Dash,0.033584,0.074632,-0.0075,4673000,0.5045,2020-01-08T23:30:52.362805,9262726,0.06657,54.8,56.53,51.72,52.92,314320136,489899216
9252356,Dash,0.033607,0.074683,-0.00764,4678000,0.5056,2020-01-02T21:27:58.500672,9252356,0.06647,41.91,42.04,40.18,40.22,200098184,371971196
9250797,Dash,0.033624,0.074719,-0.0077,4681000,0.50601,2020-01-01T23:25:42.417850,9250797,0.06645,41.19,42.61,40.97,41.87,209558954,387089111
9249110,Dash,0.03363,0.074734,-0.00772,4682000,0.50621,2019-12-31T23:27:56.470058,9249110,0.06644,42.57,42.84,41.15,41.2,228348982,380819459
9247376,Dash,0.033638,0.074751,-0.00779,4686000,0.50674,2019-12-30T23:25:50.323415,9247376,0.06638,44.75,45,42.52,42.57,236575767,393500251
9240791,Dash,0.033653,0.074783,-0.00758,4667000,0.50504,2019-12-29T23:25:50.228276,9240791,0.06663,41.9,45.42,41.66,44.75,291554835,413310786
9239113,Dash,0.033672,0.074826,-0.00764,4670000,0.50546,2019-12-28T23:25:49.843199,9239113,0.06662,39.87,43.01,39.83,41.89,258317069,386836063
9237389,Dash,0.033656,0.074791,-0.00779,4681000,0.50674,2019-12-27T23:28:02.409386,9237389,0.06642,40.13,40.53,38.97,39.87,228790249,368137394
9235686,Dash,0.033675,0.074834,-0.00787,4686000,0.50738,2019-12-26T23:27:57.902352,9235686,0.06637,41.23,41.34,38.96,40.16,297344626,370729978
9233987,Dash,0.033681,0.074847,-0.0084,4725000,0.5117,2019-12-25T23:25:46.888916,9233987,0.06582,42.02,42.08,41.16,41.25,231213797,380677900
