circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,timestamp,yield,open,high,low,close,volume,market_cap
8293350,Horizen,0.063368,0.316839,-0.12109,3152366,0.38011,2020-01-27T23:25:48.177684,0.15739,10.07,10.58,9.91,10.24,1811553,84962705
8286250,Horizen,0.064037,0.320183,-0.12259,3115410,0.37597,2020-01-26T23:25:51.671825,0.15834,9.91,10.21,9.61,10.04,1210483,83228484
8279087,Horizen,0.063529,0.317644,-0.12063,3116270,0.3764,2020-01-25T23:25:53.993436,0.1587,10.13,10.28,9.83,9.91,1067854,82073238
8272037,Horizen,0.065029,0.325147,-0.12533,3070024,0.37113,2020-01-24T23:25:57.406519,0.15907,9.89,10.47,9.67,10.17,1397655,84089597
8264837,Horizen,0.063109,0.315546,-0.11828,3106366,0.37585,2020-01-23T23:25:58.527932,0.15994,10.42,10.61,9.56,9.89,1585715,81723983
8257700,Horizen,0.062991,0.314953,-0.11794,3102506,0.37571,2020-01-22T23:25:42.716980,0.15987,10.76,10.97,10.36,10.43,1443416,86094329
8250512,Horizen,0.061142,0.305711,-0.11214,3096398,0.3753,2020-01-21T23:25:48.783979,0.15929,11.09,11.23,10.56,10.76,1264581,88806744
8242812,Horizen,0.064094,0.32047,-0.12135,3098128,0.37586,2020-01-20T21:25:48.640468,0.16024,11.07,11.41,10.64,11.1,1471899,91497910
8236337,Horizen,0.064401,0.322003,-0.12226,3094890,0.37576,2020-01-19T23:25:56.314144,0.16038,11.98,11.98,10.84,11.06,2117927,91069871
8229125,Horizen,0.061605,0.308023,-0.11254,3082050,0.37453,2020-01-18T23:25:49.146949,0.16082,10.77,12.08,10.51,12,2274785,98753559
8221925,Horizen,0.063196,0.315981,-0.11829,3089092,0.37571,2020-01-17T23:25:46.732071,0.16031,10.5,10.91,10.35,10.77,2419004,88583976
8214900,Horizen,0.069368,0.346839,-0.13844,3078192,0.37471,2020-01-16T23:25:50.589291,0.16038,10.16,10.75,9.91,10.5,1646017,86273427
8207637,Horizen,0.063159,0.315794,-0.11745,3059342,0.37274,2020-01-15T23:25:46.559037,0.16126,10.08,10.67,9.86,10.16,1862542,83371751
8200450,Horizen,0.062249,0.311247,-0.11489,3031136,0.36963,2020-01-14T23:25:49.906975,0.1606,9.98,10.56,9.71,10.07,1833712,82571899
8193400,Horizen,0.064709,0.323545,-0.12333,2989976,0.36492,2020-01-13T23:25:48.688584,0.16031,9.91,10.53,9.55,9.99,2165060,81814348
8186225,Horizen,0.064506,0.322528,-0.12282,3008258,0.36748,2020-01-12T23:25:43.135147,0.16009,8.87,10.08,8.75,9.94,2001420,81373313
8179075,Horizen,0.06569,0.328449,-0.12618,2961272,0.36206,2020-01-11T23:27:57.875051,0.16082,8.44,9.18,8.2,8.9,1500232,72772401
8171887,Horizen,0.064321,0.321606,-0.11956,3021990,0.3698,2020-01-10T23:27:57.854252,0.16359,8.51,8.58,8.06,8.44,1219300,68991143
8164875,Horizen,0.067208,0.336038,-0.12984,3011556,0.36884,2020-01-09T23:25:55.136428,0.16257,8.9,9.13,8.31,8.53,1263537,69615076
8157562,Horizen,0.062823,0.314116,-0.11388,2998286,0.36755,2020-01-08T23:30:53.305633,0.16447,8.18,9.31,7.99,8.9,1954829,72596678
8150512,Horizen,0.061942,0.309708,-0.11067,2958970,0.36304,2020-01-07T23:47:08.317378,0.16476,7.45,8.39,7.31,8.2,1654536,66821915
8143375,Horizen,0.063421,0.317105,-0.11544,2932992,0.36017,2020-01-06T23:49:11.716010,0.16505,7.45,7.64,7.32,7.46,1144051,60751427
8135912,Horizen,0.062986,0.314931,-0.11465,2899588,0.35639,2020-01-05T22:51:18.514464,0.16418,8.02,8.06,7.44,7.45,1166178,60602862
8129062,Horizen,0.062657,0.313284,-0.11337,2897762,0.35647,2020-01-04T23:47:12.554716,0.1644,8.13,8.27,7.84,8.01,1049435,65084862
8121950,Horizen,0.061039,0.305197,-0.10793,2900946,0.35717,2020-01-03T23:45:27.174511,0.16432,7.59,8.34,7.49,8.17,1174898,66395543
8114812,Horizen,0.064604,0.323019,-0.1194,2864030,0.35294,2020-01-02T23:49:19.509333,0.16505,8.41,8.62,7.61,7.61,1162329,61728756
8107675,Horizen,0.065769,0.328843,-0.12414,2902578,0.358,2020-01-01T23:25:43.541978,0.16388,9.18,9.28,8.08,8.39,1889388,68033151
8100387,Horizen,0.066458,0.33229,-0.12712,2908834,0.3591,2019-12-31T23:27:57.441168,0.16294,7.66,9.2,7.45,9.18,2831147,74388539
8093337,Horizen,0.067935,0.339676,-0.13231,2947558,0.3642,2019-12-30T23:25:51.412224,0.16242,7.6,8.08,7.05,7.66,1916777,61963879
8085962,Horizen,0.068815,0.344077,-0.13466,2931400,0.36253,2019-12-29T23:25:51.420269,0.16308,6.43,7.99,6.43,7.6,2554956,61462378
8078850,Horizen,0.065059,0.325295,-0.12245,2947994,0.3649,2019-12-28T23:25:50.700998,0.16301,6.16,6.49,6.14,6.44,1343587,52054411
8071737,Horizen,0.063963,0.319816,-0.12025,2922156,0.36202,2019-12-27T23:28:03.468643,0.16111,6.24,6.32,6.01,6.17,1258456,49818404
8064512,Horizen,0.063602,0.318009,-0.1176,2942330,0.36485,2019-12-26T23:27:59.335626,0.16301,6.74,6.85,6.22,6.24,1111262,50325660
8057337,Horizen,0.062781,0.313903,-0.11684,2910424,0.36121,2019-12-25T23:25:47.975765,0.16038,6.81,7,6.66,6.74,889425,54308595
8050237,Horizen,0.064306,0.321531,-0.12194,2918160,0.36249,2019-12-24T23:27:57.176900,0.16038,6.73,7.1,6.71,6.81,925838,54834711
8043137,Horizen,0.064549,0.322746,-0.12286,2879596,0.35802,2019-12-23T23:25:50.789378,0.16024,7.27,7.32,6.76,6.76,1408675,54371078
8035962,Horizen,0.065078,0.32539,-0.12444,2880620,0.35847,2019-12-22T23:25:51.710109,0.16045,7.17,8.26,6.7,7.27,2035222,58456867
8028862,Horizen,0.06541,0.327048,-0.12581,2876160,0.35823,2019-12-21T23:25:57.809979,0.16009,6.87,7.24,6.54,7.17,1667597,57581372
8021650,Horizen,0.062573,0.312867,-0.11604,2897084,0.36116,2019-12-20T23:27:58.350923,0.16053,7.52,7.58,6.83,6.87,1845320,55145143
8014637,Horizen,0.065457,0.327287,-0.1252,2897750,0.36156,2019-12-19T23:25:57.669179,0.16111,7.41,7.65,7.15,7.52,1772422,60297976
8007450,Horizen,0.066311,0.331556,-0.12883,2901408,0.36234,2019-12-18T23:25:55.018802,0.16002,6.63,7.47,6.36,7.41,1572982,59332786
8000137,Horizen,0.065502,0.32751,-0.12623,2905260,0.36315,2019-12-17T23:25:51.291914,0.15994,7.24,7.66,6.59,6.63,2615926,53070663
7993125,Horizen,0.067117,0.335585,-0.13238,2895230,0.36222,2019-12-16T23:25:51.336265,0.15878,6.49,8.06,6.22,7.24,2545675,57876390
7985850,Horizen,0.063817,0.319084,-0.12181,2898820,0.363,2019-12-15T23:25:46.636023,0.15841,6.49,6.8,6.41,6.48,2626065,51762650
7978887,Horizen,0.070704,0.35352,-0.14404,2890874,0.36232,2019-12-14T23:25:53.347967,0.15856,5.98,7.36,5.86,6.49,1957501,51776966
7971662,Horizen,0.069451,0.347256,-0.14001,2890126,0.36255,2019-12-13T23:25:52.380827,0.15863,6.09,6.21,5.97,5.98,985518,47683435
7964587,Horizen,0.067448,0.337238,-0.13236,2884724,0.36219,2019-12-12T23:25:56.494973,0.16024,6.22,6.27,5.93,6.1,1044093,48622031
7957350,Horizen,0.065787,0.328936,-0.12837,2878994,0.3618,2019-12-11T23:25:45.970682,0.15834,6.13,6.26,5.88,6.22,969504,49456332
7950150,Horizen,0.065313,0.326564,-0.12643,2864798,0.36034,2019-12-10T23:25:56.295323,0.15885,6.05,6.44,5.89,6.13,1957268,48727627
7942950,Horizen,0.064361,0.321804,-0.12411,2869122,0.36122,2019-12-09T23:26:52.451841,0.15775,5.4,6.25,5.37,6.04,1442042,47992441
7935787,Horizen,0.06249,0.312449,-0.11787,2883548,0.36336,2019-12-08T23:26:00.863391,0.15775,5.39,5.46,5.32,5.41,514338,42900409
7928700,Horizen,0.066599,0.332997,-0.13048,2886354,0.36404,2019-12-07T23:26:24.195558,0.15907,5.59,5.63,5.38,5.39,603237,42721640
7921650,Horizen,0.06638,0.331898,-0.1302,2850084,0.35978,2019-12-06T23:32:37.047922,0.15848,4.9,5.58,4.9,5.58,1391823,44232377
7914362,Horizen,0.067391,0.336955,-0.13338,2881328,0.36406,2019-12-05T23:28:24.606277,0.15863,4.99,5,4.69,4.9,1075246,38792290
7907175,Horizen,0.064179,0.320894,-0.12251,2853274,0.36085,2019-12-04T23:32:42.954942,0.15907,5.3,5.3,4.97,5,581356,39523370
7900187,Horizen,0.070284,0.351419,-0.14179,2849680,0.36071,2019-12-03T23:34:54.581092,0.1598,5.47,5.71,5.29,5.3,633035,41859397
7893012,Horizen,0.065971,0.329855,-0.12854,2832656,0.35888,2019-12-02T23:35:03.087387,0.15892,5.54,5.59,5.36,5.47,448862,43171536
7885862,Horizen,0.068767,0.343833,-0.13755,2855030,0.36204,2019-12-01T23:37:10.358269,0.15899,5.77,5.82,5.37,5.54,621166,43716215
7878700,Horizen,0.066062,0.330311,-0.1268,2846390,0.36128,2019-11-30T23:30:54.891089,0.16162,5.7,5.77,5.49,5.77,709277,45431558
7871437,Horizen,0.062654,0.313272,-0.11759,2839280,0.36071,2019-11-29T23:28:38.363086,0.15885,5.65,5.87,5.55,5.7,597331,44890712
7864400,Horizen,0.066544,0.332718,-0.12783,2844412,0.36168,2019-11-28T23:26:34.440239,0.16235,5.63,5.87,5.51,5.65,601175,44448724
7857200,Horizen,0.067599,0.337994,-0.13384,2843042,0.36184,2019-11-27T23:30:43.186385,0.15892,5.51,5.79,5.32,5.62,851623,44193960
7850087,Horizen,0.068059,0.340296,-0.13543,2828812,0.36035,2019-11-26T23:26:44.432772,0.15878,4.96,5.6,4.92,5.55,1554007,43573762
7842887,Horizen,0.067604,0.338021,-0.13396,2832188,0.36112,2019-11-25T23:30:44.572421,0.15878,4.78,5.16,4.44,4.96,785238,38920254
7835675,Horizen,0.064615,0.323075,-0.12429,2825150,0.36055,2019-11-24T23:30:42.984360,0.15863,5.07,5.11,4.78,4.78,529517,37468466
7828487,Horizen,0.065374,0.326868,-0.12657,2835528,0.36221,2019-11-23T23:26:23.320337,0.15892,5.04,5.26,4.98,5.07,921623,39668978
7821362,Horizen,0.071626,0.358131,-0.14534,2845340,0.36379,2019-11-22T23:26:22.442787,0.16075,5.39,5.42,4.49,5.04,967779,39443317
7814162,Horizen,0.066082,0.330411,-0.12934,2830158,0.36218,2019-11-21T23:32:42.222895,0.15834,5.19,6.19,5.1,5.39,1892168,42120991
