circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,total_supply,yield,timestamp,open,high,low,close,volume,market_cap
824008438,Tezos,0.050605,0.050605,0.01428,635616000,0.77137,824008438,0.0656,2020-01-27,1.52,1.54,1.49,1.53,44520219,1059238633
823896218,Tezos,0.050616,0.050616,0.01425,635816000,0.77172,823896218,0.06559,2020-01-26,1.5,1.53,1.47,1.52,43363397,1057063607
823783057,Tezos,0.050616,0.050616,0.01425,635776000,0.77178,823783057,0.06558,2020-01-25,1.52,1.52,1.47,1.5,44078895,1038410748
823670606,Tezos,0.05061,0.05061,0.01472,630904000,0.76597,823670606,0.06607,2020-01-24,1.56,1.57,1.5,1.52,48576603,1053322115
823558333,Tezos,0.050611,0.050611,0.01506,627376000,0.76179,823558333,0.06644,2020-01-23,1.59,1.62,1.5,1.55,65348600,1078286026
823446817,Tezos,0.050605,0.050605,0.01508,627144000,0.76161,823446817,0.06644,2020-01-22,1.54,1.64,1.53,1.59,47055144,1105004314
823334898,Tezos,0.050604,0.050604,0.01515,626336000,0.76073,823334898,0.06652,2020-01-21,1.59,1.61,1.5,1.53,51586798,1065444584
823223424,Tezos,0.050609,0.050609,0.01514,626328000,0.76082,823223424,0.06652,2020-01-20,1.42,1.59,1.41,1.59,60224151,1102454966
823095080,Tezos,0.050617,0.050617,0.01439,633744000,0.76995,823095080,0.06574,2020-01-19,1.49,1.52,1.37,1.42,46261834,987050590
823003294,Tezos,0.050623,0.050623,0.01446,633064000,0.76921,823003294,0.06581,2020-01-18,1.47,1.54,1.42,1.49,49645136,1033489226
822890494,Tezos,0.050614,0.050614,0.01448,632728000,0.76891,822890494,0.06583,2020-01-17,1.49,1.53,1.44,1.48,63542861,1024091459
822777605,Tezos,0.050578,0.050578,0.01447,632608000,0.76887,822777605,0.06578,2020-01-16,1.34,1.52,1.3,1.49,67302241,1037213520
822664294,Tezos,0.050549,0.050549,0.0145,632136000,0.7684,822664294,0.06578,2020-01-15,1.33,1.4,1.3,1.34,59355419,932175745
822551019,Tezos,0.050536,0.050536,0.01467,630360000,0.76635,822551019,0.06594,2020-01-14,1.28,1.36,1.27,1.33,53074477,924801443
822437429,Tezos,0.050517,0.050517,0.01476,629256000,0.76511,822437429,0.06603,2020-01-13,1.31,1.31,1.27,1.28,36870088,888218070
822327378,Tezos,0.050522,0.050522,0.01491,627680000,0.7633,822327378,0.06619,2020-01-12,1.31,1.32,1.3,1.31,30492207,909993423
822218662,Tezos,0.050542,0.050542,0.01494,627368000,0.76302,822218662,0.06624,2020-01-11,1.31,1.35,1.3,1.31,39100862,906142415
822106440,Tezos,0.050547,0.050547,0.01501,626616000,0.76221,822106440,0.06632,2020-01-10,1.29,1.33,1.26,1.31,41884562,906795252
821995456,Tezos,0.05056,0.05056,0.01541,622672000,0.75751,821995456,0.06675,2020-01-09,1.33,1.37,1.27,1.29,47676368,895458247
821885702,Tezos,0.050575,0.050575,0.01568,619944000,0.7543,821885702,0.06705,2020-01-08,1.3,1.4,1.27,1.33,49431499,925780956
821775174,Tezos,0.050583,0.050583,0.01574,619336000,0.75366,821775174,0.06712,2020-01-07,1.31,1.33,1.26,1.3,49139469,901265968
821665275,Tezos,0.050603,0.050603,0.01581,618656000,0.75293,821665275,0.06721,2020-01-06,1.26,1.34,1.26,1.31,43088423,906258204
821555819,Tezos,0.05061,0.05061,0.01586,618112000,0.75237,821555819,0.06727,2020-01-05,1.26,1.3,1.25,1.26,36629230,877159747
821445753,Tezos,0.050612,0.050612,0.01582,618352000,0.75276,821445753,0.06723,2020-01-04,1.28,1.3,1.23,1.26,38156086,876029669
821337825,Tezos,0.050627,0.050627,0.01588,617760000,0.75214,821337825,0.06731,2020-01-03,1.24,1.31,1.24,1.28,43721354,890109980
821228930,Tezos,0.050643,0.050643,0.01595,617040000,0.75136,821228930,0.0674,2020-01-02,1.37,1.38,1.23,1.24,37676355,861516905
821117022,Tezos,0.050656,0.050656,0.01589,617624000,0.75218,821117022,0.06735,2020-01-01,1.35,1.37,1.32,1.37,35642475,951188893
821005799,Tezos,0.050664,0.050664,0.01595,616904000,0.7514,821005799,0.06743,2019-12-31,1.33,1.4,1.31,1.35,42638601,938725945
820893849,Tezos,0.050667,0.050667,0.01595,616824000,0.7514,820893849,0.06743,2019-12-30,1.31,1.36,1.3,1.33,41116951,924752288
820782270,Tezos,0.050683,0.050683,0.016,616304000,0.75087,820782270,0.0675,2019-12-29,1.33,1.36,1.29,1.31,45413699,911327054
820670046,Tezos,0.050681,0.050681,0.01602,616048000,0.75066,820670046,0.06752,2019-12-28,1.38,1.39,1.33,1.33,43957470,921074564
820557233,Tezos,0.050665,0.050665,0.01597,616456000,0.75126,820557233,0.06744,2019-12-27,1.37,1.41,1.36,1.38,38176059,960368527
820445165,Tezos,0.050656,0.050656,0.016,615992000,0.7508,820445165,0.06747,2019-12-26,1.41,1.43,1.35,1.37,47649174,952053087
820335604,Tezos,0.050652,0.050652,0.01602,615776000,0.75064,820335604,0.06748,2019-12-25,1.5,1.5,1.4,1.41,40558090,981628328
820225008,Tezos,0.050624,0.050624,0.01602,615576000,0.7505,820225008,0.06745,2019-12-24,1.52,1.54,1.49,1.5,37812261,1038174056
820115958,Tezos,0.050606,0.050606,0.01589,616656000,0.75191,820115958,0.0673,2019-12-23,1.47,1.58,1.46,1.52,56083425,1054365471
820007303,Tezos,0.05058,0.05058,0.01597,615776000,0.75094,820007303,0.06736,2019-12-22,1.48,1.53,1.45,1.47,50459429,1018816410
819896827,Tezos,0.050544,0.050544,0.01598,615480000,0.75068,819896827,0.06733,2019-12-21,1.6,1.61,1.48,1.48,49226920,1026339209
819785969,Tezos,0.050514,0.050514,0.01603,614864000,0.75003,819785969,0.06735,2019-12-20,1.51,1.6,1.49,1.6,58433436,1110696671
819675786,Tezos,0.050483,0.050483,0.01629,612208000,0.74689,819675786,0.06759,2019-12-19,1.59,1.62,1.47,1.51,62825585,1051017023
819566437,Tezos,0.050447,0.050447,0.01673,607816000,0.74163,819566437,0.06802,2019-12-18,1.54,1.62,1.45,1.6,90681124,1107937773
819460527,Tezos,0.05043,0.05043,0.01679,607136000,0.7409,819460527,0.06807,2019-12-17,1.67,1.77,1.52,1.54,92967379,1017781983
819354944,Tezos,0.050405,0.050405,0.01685,606456000,0.74016,819354944,0.0681,2019-12-16,1.68,1.71,1.61,1.67,68707545,1104646482
810904882,Tezos,0.051032,0.051032,0.01919,581200000,0.71673,810904882,0.0712,2019-10-18,0.895843,0.898314,0.869977,0.877796,10666948,579673087
810904892,Tezos,0.051036,0.051036,0.01919,581200000,0.71673,810904892,0.07121,2019-10-17,0.876521,0.899669,0.872991,0.895843,11185558,591591209
810904943,Tezos,0.051017,0.051017,0.01918,581200000,0.71673,810904943,0.07118,2019-10-16,0.909666,0.913004,0.861378,0.876968,12766002,579126752
810904999,Tezos,0.05096,0.05096,0.01916,581200000,0.71673,810904999,0.0711,2019-10-15,0.939501,0.961195,0.902323,0.907378,17300340,599208238
810579940,Tezos,0.050983,0.050983,0.01959,577384000,0.71231,810579940,0.07157,2019-10-14,0.903695,0.942667,0.897807,0.941266,16242661,621587341
810580010,Tezos,0.050956,0.050956,0.01958,577384000,0.71231,810580010,0.07154,2019-10-13,0.893087,0.967,0.88628,0.903695,19773441,596776442
810580062,Tezos,0.051001,0.051001,0.0196,577384000,0.71231,810580062,0.0716,2019-10-12,0.911203,0.921544,0.850423,0.8931,19332567,589779872
810256675,Tezos,0.05107,0.05107,0.01962,577160000,0.71232,810256675,0.07169,2019-10-11,0.913683,0.920685,0.885656,0.914116,18114188,603658112
810256750,Tezos,0.051048,0.051048,0.01962,577160000,0.71232,810256750,0.07166,2019-10-10,0.942845,0.944412,0.913233,0.915035,24538307,604264912
810257025,Tezos,0.051047,0.051047,0.01962,577160000,0.71232,810257025,0.07166,2019-10-09,0.899704,0.957093,0.894856,0.942926,16465901,622683648
809932251,Tezos,0.051129,0.051129,0.01967,576680000,0.71201,809932251,0.07181,2019-10-08,0.906241,0.915839,0.895083,0.899704,18299070,594140600
809932325,Tezos,0.051152,0.051152,0.01968,576680000,0.71201,809932325,0.07184,2019-10-07,0.87599,0.924249,0.867754,0.906686,16375621,598751227
809932374,Tezos,0.051145,0.051145,0.01976,576000000,0.71117,809932374,0.07192,2019-10-06,0.912324,0.91377,0.872431,0.876948,12691818,579113086
809607257,Tezos,0.051216,0.051216,0.01976,576000000,0.71146,809607257,0.07199,2019-10-05,0.923275,0.924122,0.902212,0.912535,13070972,602614044
809607309,Tezos,0.051192,0.051192,0.01975,576000000,0.71146,809607309,0.07195,2019-10-04,0.934931,0.93567,0.901729,0.923275,14953450,609706365
809607367,Tezos,0.051182,0.051182,0.01983,575320000,0.71062,809607367,0.07202,2019-10-03,0.943783,0.965669,0.917273,0.935255,11184781,617617831
809283287,Tezos,0.051214,0.051214,0.01981,575320000,0.7109,809283287,0.07204,2019-10-02,0.953811,0.953811,0.893671,0.943158,17174252,622836475
809283349,Tezos,0.051198,0.051198,0.01981,575320000,0.7109,809283349,0.07202,2019-10-01,0.90424,0.997532,0.898776,0.953637,13349266,629756396
809283414,Tezos,0.051187,0.051187,0.0198,575320000,0.7109,809283414,0.072,2019-09-30,0.888097,0.91842,0.853907,0.903533,15800572,596669068
808959502,Tezos,0.051206,0.051206,0.0199,574336000,0.70997,808959502,0.07212,2019-09-29,0.893418,0.916808,0.869514,0.887902,11871749,586346796
808959561,Tezos,0.051171,0.051171,0.01989,574336000,0.70997,808959561,0.07207,2019-09-28,0.895378,0.916559,0.868757,0.893673,9062006,590158131
808637615,Tezos,0.051205,0.051205,0.01944,577952000,0.71472,808637615,0.07164,2019-09-27,0.850902,0.899908,0.824431,0.895409,17459138,591304774
808637676,Tezos,0.051158,0.051158,0.01943,577952000,0.71472,808637676,0.07158,2019-09-26,0.854433,0.913537,0.821401,0.851353,12848761,562210845
808637616,Tezos,0.051153,0.051153,0.01942,577952000,0.71472,808637616,0.07157,2019-09-25,0.889105,0.909275,0.818959,0.854977,24468658,564604498
808317149,Tezos,0.051163,0.051163,0.01967,575656000,0.71217,808317149,0.07184,2019-09-24,1.05,1.09,0.852477,0.892636,25188778,589473410
808317242,Tezos,0.051183,0.051183,0.01968,575656000,0.71217,808317242,0.07187,2019-09-23,1.05,1.14,1.02,1.05,18341225,696104355
808317309,Tezos,0.051079,0.051079,0.01964,575656000,0.71217,808317309,0.07172,2019-09-22,1.07,1.08,1.05,1.06,8594941,696868198
807995519,Tezos,0.050847,0.050847,0.01954,575552000,0.71232,807995519,0.07138,2019-09-20,1.1,1.11,1.05,1.06,14160437,701240151
807995525,Tezos,0.0508,0.0508,0.01952,575552000,0.71232,807995525,0.07132,2019-09-19,1.09,1.12,1.03,1.1,12359739,727542370
807685226,Tezos,0.050649,0.050649,0.0194,575880000,0.713,807685226,0.07104,2019-09-17,1,1.1,0.997298,1.1,10580481,723533677
807360752,Tezos,0.0507,0.0507,0.0195,574976000,0.71217,807360752,0.07119,2019-09-16,1,1.01,0.985511,1,7211469,662162197
807360759,Tezos,0.050717,0.050717,0.01951,574976000,0.71217,807360759,0.07121,2019-09-15,1,1.02,0.988586,1,9925484,662384863
807360768,Tezos,0.050617,0.050617,0.01947,574976000,0.71217,807360768,0.07107,2019-09-14,0.977167,1.01,0.961925,1,8114227,661750058
807037659,Tezos,0.050431,0.050431,0.01942,574648000,0.71205,807037659,0.07083,2019-09-13,1.01,1.02,0.957123,0.975547,9376392,644225711
807037668,Tezos,0.05015,0.05015,0.01931,574648000,0.71205,807037668,0.07043,2019-09-12,1.01,1.02,0.993832,1.01,9235470,666508432
807037676,Tezos,0.049932,0.049932,0.01923,574648000,0.71205,807037676,0.07012,2019-09-11,1.02,1.03,0.994984,1.01,8953230,664542321
806714584,Tezos,0.050105,0.050105,0.0196,571808000,0.70881,806714584,0.07069,2019-09-10,1.04,1.04,1.02,1.02,9247187,675748704
806714594,Tezos,0.050135,0.050135,0.01961,571808000,0.70881,806714594,0.07073,2019-09-09,1.06,1.11,1.03,1.04,11308139,687583237
806714603,Tezos,0.050192,0.050192,0.01963,571808000,0.70881,806714603,0.07081,2019-09-08,1.03,1.08,1.02,1.07,10251627,703564280
806392299,Tezos,0.05025,0.05025,0.02003,568424000,0.7049,806392299,0.07129,2019-09-07,0.998955,1.04,0.977403,1.03,13451858,679683395
806392311,Tezos,0.050258,0.050258,0.02003,568424000,0.7049,806392311,0.0713,2019-09-06,1.01,1.03,0.993146,1,11010600,660508589
806392323,Tezos,0.050192,0.050192,0.02001,568424000,0.7049,806392323,0.07121,2019-09-05,1.03,1.04,1,1.01,9221482,669826900
806071727,Tezos,0.050389,0.050389,0.02015,567656000,0.70422,806071727,0.07155,2019-09-03,1.06,1.07,1.03,1.04,11137913,688841250
806071743,Tezos,0.050616,0.050616,0.02023,567656000,0.70422,806071743,0.07188,2019-09-02,1.03,1.08,1.03,1.06,9758386,697810467
805753486,Tezos,0.051052,0.051052,0.02041,567328000,0.7041,805753486,0.07251,2019-09-01,1.05,1.06,1.01,1.03,8250825,681637980
